abandon /əˈbændən/, /əˈbændən/;  bỏ rơi, ruồng bỏ
burgeon /ˈbɜːdʒən/, /ˈbɜːrdʒən/;  đâm chồi
by-product /ˈbaɪ prɒdʌkt/, /ˈbaɪ prɑːdʌkt/;  kể quả phụ, tác dụng phụ
cadaverous /kəˈdævərəs/, /kəˈdævərəs/;  tái nhợt, trông như xác chết
calamity /kəˈlæməti/, /kəˈlæməti/;  tai họa, tai ương
callous /ˈkæləs/, /ˈkæləs/;  nhẫn tâm
campaign /kæmˈpeɪn/, /kæmˈpeɪn/;  chiến dịch
candid /ˈkændɪd/, /ˈkændɪd/;  ngay thẳng, bộc trực
candour /ˈkændə(r)/, /ˈkændər/;  thật thà, ngay thẳng
cantankerous /kænˈtæŋkərəs/, /kænˈtæŋkərəs/;  nóng tính, hay gây gỗ, thích cãi nhau
capricious /kəˈprɪʃəs/, /kəˈprɪʃəs/;  tính khí thất thường 
caricature /ˈkærɪkətʃʊə(r)/, /tʃər/;  tranh biếm họa
castigate /ˈkæstɪɡeɪt/, /ˈkæstɪɡeɪt/;  khiển trách, trừng phạt, trừng trị
caustic /ˈkɔːstɪk/, /ˈkɔːstɪk/;  châm biếm, cay độc
cease  /siːs/, /siːs/;  dừng, ngừng, ngớt 
cherish /ˈtʃerɪʃ/, /ˈtʃerɪʃ/;  trân trọng, yêu quý
chicanery /ʃɪˈkeɪnəri/, /ʃɪˈkeɪnəri/;  mánh khoé kiện tụng, sự ngụy biện 
chivalry /ˈʃɪvəlri/, /ˈʃɪvəlri/;  những hiệp sĩ, những người hào hoa phong nhã
chronic /ˈkrɒnɪk/, /ˈkrɑːnɪk/;  xãy ra trong một thời gian dài, ăn sâu, mãn tính
circulate /ˈsɜːkjəleɪt/, /ˈsɜːrkjəleɪt/;  lưu thông, lưu chuyển, tuần hoàn
circumspect /ˈsɜːkəmspekt/, /ˈsɜːrkəmspekt/;  thận trọng
circumvent /ˌsɜːkəmˈvent/, /ˌsɜːrkəmˈvent/;  đánh lừa, đi vòng, đi tránh
cite /saɪt/, /saɪt/;  trích dẫn
civil /ˈsɪvl/, /ˈsɪvl/;  (thuộc) công dân
clandestine /klænˈdestɪn/, /klænˈdestɪn/;  giấu giếm, bí mật
clarify /ˈklærəfaɪ/, /ˈklærəfaɪ/;  làm cho rõ ràng, dễ hiểu 
clash /klæʃ/, /klæʃ/;  cuộc đụng độ 
clement /ˈklemənt/, /ˈklemənt/;  khoan dung, nhân từ 
coalition /ˌkəʊəˈlɪʃn/, /ˌkoʊəˈlɪʃn/;  sự liên kết, sự liên hiệp, sự liên minh 
coercion /kəʊˈɜːʃn/, /koʊˈɜːrʒn/;  sự ép buộc, sự áp bức
cogent /ˈkəʊdʒənt/, /ˈkoʊdʒənt/;  vững chắc, có sức thuyết phục (lập luận...)
coherent /kəʊˈhɪərənt/, /koʊˈhɪrənt/;  mạch lạc, chặt chẽ 
cold-shoulder /ˌkəʊld ˈʃəʊldə(r)/, /ˌkoʊld ˈʃoʊldər/;  lạnh nhạt với ai 
collaborate /kəˈlæbəreɪt/, /kəˈlæbəreɪt/;  cộng tác
collective /kəˈlektɪv/, /kəˈlektɪv/;  tập thể, chung 
collide /kəˈlaɪd/, /kəˈlaɪd/;  va nhau, đụng nhau
collusion /kəˈluːʒn/, /kəˈluːʒn/;  sự câu kết, sự thông đồng
colossal /kəˈlɒsl/, /kəˈlɑːsl/;  rất lớn
commemorate /kəˈmeməreɪt/, /kəˈmeməreɪt/;  kỷ niệm, tưởng niệm 
commence /kəˈmens/, /kəˈmens/;  bắt đầu, mở đầu
commerce /ˈkɒmɜːs/, /ˈkɑːmɜːrs/;  thương mại 
commodious /ˈməʊdiəs/, /ˈmoʊdiəs/;  rộng rãi
commonplace /ˈkɒmənpleɪs/, /ˈkɑːmənpleɪs/;  phổ biến
compatible /kəmˈpætəbl/, /kəmˈpætəbl/;  tương hợp, tương thích 
compensate /ˈkɒmpenseɪt/, /ˈkɑːmpenseɪt/;  đền bù, bồi thường, bù đắp 
competence /ˈkɒmpɪtəns/, /ˈkɑːmpɪtəns/;  năng lực, khả năng 
complacent /kəmˈpleɪsnt/, /kəmˈpleɪsnt/;  tự mãn
complement /ˈkɒmplɪment/, /ˈkɑːmplɪment/;  bổ sung
comprise /kəmˈpraɪz/, /kəmˈpraɪz/;  bao gồm 
compulsory /kəmˈpʌlsəri/, /kəmˈpʌlsəri/;  bắt buộc 
conceal /kənˈsiːl/, /kənˈsiːl/;  giấu (người, vật gì đó) 
concede /kənˈsiːd/, /kənˈsiːd/;  thừa nhận, nhường cho
concept /ˈkɒnsept/, /ˈkɑːnsept/;  khái niệm 
concord /ˈkɒŋkɔːd/, /ˈkɑːnkɔːrd/;  sự hòa hợp, hòa thuận
condolence /ˈdəʊləns/, /ˈdoʊləns/;  lời chia buồn, sự chia buồn
condone /ˈdəʊn/, /ˈdoʊn/;  dung túng, bỏ qua
confederate /kənˈfedərət/, /kənˈfedərət/;  người đồng mưu, người cấu kết
confer /kənˈfɜː(r)/, /kənˈfɜːr/;  hỏi ý kiến, hội ý 
conflict /ˈkɒnflɪkt/, /ˈkɑːnflɪkt/;  sự xung đột, sự mâu thuẫn, cuộc xung đột
confluence /ˈkɒnfluəns/, /ˈkɑːnfluəns/;  sự hợp lưu (khi hai thứ hợp thành một)
conform /ˈfɔːm/, /ˈfɔːrm/;  nghĩ và làm theo số đông 
confound /kənˈfaʊnd/, /kənˈfaʊnd/;  làm bối rối, làm khó xử, làm ngạc nhiên
congenial /kənˈdʒiːniəl/, /kənˈdʒiːniəl/;  hợp nhau, ăn ý nhau
conglomerate /ˈɡlɒmərət/, /ˈɡlɑːmərət/;  tập đoàn, công ty đại tổ hợp, xí nghiệp tập đoàn
congregate /ˈkɒŋɡrɪɡeɪt/, /ˈkɑːŋɡrɪɡeɪt/;  tập hợp, tụ hợp
conjecture /kənˈdʒektʃə(r)/, /kənˈdʒektʃər/;  sự phỏng đoán, sự ước đoán
conjure /ˈkʌndʒə(r)/, /ˈkɑːndʒər/;  làm ảo thuật
consecrate /ˈkɒnsɪkreɪt/, /ˈkɑːnsɪkreɪt/;  được phong thánh, thánh hoá
consensus /kənˈsensəs/, /kənˈsensəs/;  sự đồng thuận, nhất trí
conspicuous /kənˈspɪkjuəs/, /kənˈspɪkjuəs/;  dễ thấy, nổi bật 
conspire /kənˈspaɪə(r)/, /kənˈspaɪər/;  âm mưu
constitute /ˈkɒnstɪtjuːt/, /ˈkɑːnstɪtuːt/;  tạo thành, gây nên 
constrain /kənˈstreɪn/, /kənˈstreɪn/;  dằn xuống, nén, chế ngự
consul /ˈkɒnsl/, /ˈkɑːnsl/;  lãnh sự
consummate; cực kì giỏi, hoàn hảo
contemplate /ˈkɒntəmpleɪt/, /ˈkɑːntəmpleɪt/;  suy ngẫm 
contemporary /prəri/, /pəreri/;  cùng thời 
contemptuous /kənˈtemptʃuəs/, /kənˈtemptʃuəs/;  khinh thường, coi thường, tỏ vẻ khinh bỉ 
contradict /ˌkɒntrəˈdɪkt/, /ˌkɑːntrəˈdɪkt/;  phủ nhận
contradictory /ˌkɒntrəˈdɪktəri/, /ˌkɑːntrəˈdɪktəri/;  mâu thuẫn, trái ngược 
contrive /kənˈtraɪv/, /kənˈtraɪv/;  xoay xở, lo liệu
controversy /ˈkɒntrəvɜːsi/, /kənˈtrɒvəsi/;  sự tranh cãi 
convenient /kənˈviːniənt/, /kənˈviːniənt/;  tiện lợi, thuận tiện 
conversely /ˈkɒnvɜːsli/, /ˈkɑːnvɜːrsli/;  ngược lại 
convert /ˈvɜːt/, /ˈvɜːrt/;  chuyển đổi, biến đổi
convey /kənˈveɪ/, /kənˈveɪ/;  chở, chuyên chở, chuyển tải 
convivial /kənˈvɪviəl/, /kənˈvɪviəl/;  vui tươi, thân thiện
cooperate /kəʊˈɒpəreɪt/, /koʊˈɑːpəreɪt/;  hợp tác 
copious /ˈkəʊpiəs/, /ˈkoʊpiəs/;  nhiều, với số lượng lớn
cordial /ˈkɔːdiəl/, /ˈkɔːrdʒəl/;  nồng hậu
correspond /ˌkɒrəˈspɒnd/, /ˌkɔːrəˈspɑːnd/;  tương tự, tương ứng 
cosmopolitan /ˌkɒzməˈpɒlɪtən/, /ˌkɑːzməˈpɑːlɪtən/;  (thuộc) toàn thế giới
coterie /ˈkəʊtəri/, /ˈkoʊtəri/;  nhóm, phái 
countenance /ˈkaʊntənəns/, /ˈkaʊntənəns/;  sắc mặt
counterpart /təpɑːt/, /tərpɑːrt/;  bên tương ứng 
covet /ˈkʌvət/, /ˈkʌvət/;  thèm muốn
crass /kræs/, /kræs/;  đần độn, dốt đặc
craven /ˈkreɪvn/, /ˈkreɪvn/;  hèn nhát
credence /ˈkriːdns/, /ˈkriːdns/;  sự đáng tin
credible /ˈkredəbl/, /ˈkredəbl/;  có thể tin được
creditable /ˈkredɪtəbl/, /ˈkredɪtəbl/;  đáng khen, đáng ca ngợi
credulous /djələs/, /dʒələs/;  cả tin, nhẹ dạ
cringe /krɪndʒ/, /krɪndʒ/;  tránh xa ai, trốn ai vì sợ
criterion /ˈtɪəriən/, /ˈtɪriən/;  tiêu chí 
crucial /ˈkruːʃl/, /ˈkruːʃl/;  quan trọng, cốt yếu 
cryptic /ˈkrɪptɪk/, /ˈkrɪptɪk/;  khó hiểu, bí ẩn
culpable /ˈkʌlpəbl/, /ˈkʌlpəbl/;  đáng khiển trách
cultivate /ˈkʌltɪveɪt/, /ˈkʌltɪveɪt/;  trau dồi, tu dưỡng
cumulative /lətɪv/, /leɪtɪv/;  tích lũy 
curb /kɜːb/, /kɜːrb/;  kiềm chế, hạn chế điều gì (đặc biệt là điều không tốt) 
curious /ˈkjʊəriəs/, /ˈkjʊriəs/;  tò mò, hiếu kì 
cursory /ˈkɜːsəri/, /ˈkɜːrsəri/;  qua loa, lướt qua
curt /kɜːt/, /kɜːrt/;  cộc lốc, cụt ngủn
cynical /ˈsɪnɪkl/, /ˈsɪnɪkl/;  người hoài nghi
dearth /dɜːθ/, /dɜːrθ/;  sự thiếu, sự khan hiếm
debris /ˈdebriː/, /ˈdeɪbriː/;  mãnh vỡ, mãnh vụn 
decay /dɪˈkeɪ/, /dɪˈkeɪ/;  quá trình suy tàn, tình trạng suy tàn 
decipher /dɪˈsaɪfə(r)/, /dɪˈsaɪfər/;  giải mã
deem /diːm/, /diːm/;  cho rằng, thấy rằng
defect /ˈdiːfekt/, /ˈdiːfekt/;  khuyết điểm, nhược điểm 
deficit /ˈdefɪsɪt/, /ˈdefɪsɪt/;  sự thâm hụt, số tiền thiếu hụt 
defy /dɪˈfaɪ/, /dɪˈfaɪ/;  không tuân theo, bất chấp, coi thường
deity /ˈdeɪəti/, /ˈdeɪəti/;  vị thần 
delectable /dɪˈlektəbl/, /dɪˈlektəbl/;  ngon lành
delegate /ˈdelɪɡət/, /ˈdelɪɡət/;  đại biểu 
deliberate /dɪˈlɪbərət/, /dɪˈlɪbərət/;  cố ý 
delicacy /ˈdelɪkəsi/, /ˈdelɪkəsi/;  sự mỏng manh, dễ vỡ
delinquent /dɪˈlɪŋkwənt/, /dɪˈlɪŋkwənt/;  có tội, phạm tội, lỗi lầm
deluge /ˈdeljuːdʒ/, /ˈdeljuːdʒ/;  làm tràn ngập, dồn tới tấp
delusion /dɪˈluːʒn/, /dɪˈluːʒn/;  ảo tưởng, ảo giác 
demagogue /ɡɒɡ/, /ɡɑːɡ/;  kẻ mị dân
demeanour /dɪˈmiːnə(r)/, /dɪˈmiːnər/;  cách xử sự, cử chỉ 
demise /dɪˈmaɪz/, /dɪˈmaɪz/;  sự chấm dứt, sự thất bại 
demure /dɪˈmjʊə(r)/, /dɪˈmjʊr/;  kín đáo, nghiêm trang, từ tốn
denote /dɪˈnəʊt/, /dɪˈnoʊt/;  biểu hiện, biểu thị
denounce /dɪˈnaʊns/, /dɪˈnaʊns/;  chỉ trích dữ dội
depict /dɪˈpɪkt/, /dɪˈpɪkt/;  mô tả
deplete /dɪˈpliːt/, /dɪˈpliːt/;  cạn kiệt, suy yếu
deplore /dɪˈplɔː(r)/, /dɪˈplɔːr/;  kịch liệt phản đối
deprave /dɪˈpreɪv/, /dɪˈpreɪv/;  làm hư hỏng, làm suy đổi
deprecate /ˈdeprəkeɪt/, /ˈdeprəkeɪt/;  phản đối, phản kháng, không tán thành
depreciate /dɪˈpriːʃieɪt/, /dɪˈpriːʃieɪt/;  bị giảm giá trị
deranged /dɪˈreɪndʒd/, /dɪˈreɪndʒd/;  loạn trí
derive  /dɪˈraɪv/, /dɪˈraɪv/;  xuất phát từ, chuyển hoá từ, bắt nguồn từ 
descend /dɪˈsend/, /dɪˈsend/;  đi xuống 
destitute /tjuːt/, /tuːt/;  bần cùng
detect /dɪˈtekt/, /dɪˈtekt/;  nhận thấy, phát hiện ra 
deteriorate /ˈtɪəriəreɪt/, /ˈtɪriəreɪt/;  trở nên xấu đi, suy giảm 
detrimental /ˌdetrɪˈmentl/, /ˌdetrɪˈmentl/;  có hại, thiệt hại cho, bất lợi cho
devastation /ˌdevəˈsteɪʃn/, /ˌdevəˈsteɪʃn/;  sự tàn phá
deviate /ˈdiːvieɪt/, /ˈdiːvieɪt/;  chệch hướng
devious /ˈdiːviəs/, /ˈdiːviəs/;  không thành, thủ đoạn
devise  /dɪˈvaɪz/, /dɪˈvaɪz/;  nghĩ ra, sáng chế, phát minh 
devoid /dɪˈvɔɪd/, /dɪˈvɔɪd/;  không có, trống rỗng
devout /dɪˈvaʊt/, /dɪˈvaʊt/;  thành kính, mộ đạo
dictate /dɪkˈteɪt/, /ˈdɪkteɪt/;  ra lệnh, sai khiến
dictum /ˈdɪktəm/, /ˈdɪktəm/;  châm ngôn
didactic /daɪˈdæktɪk/, /daɪˈdæktɪk/;  giáo huấn
diffident /ˈdɪfɪdənt/, /ˈdɪfɪdənt/;  thiếu tự tin, quá khiêm tốn, nhút nhát
dilemma  /dɪˈlemə/, /dɪˈlemə/;  thế tiến thoái lưỡng nan, tình trạng khó xử 
dilettante /ˌdɪləˈtænti/, /ˌdɪləˈtænti/;  tài tử, không chuyên sâu (về một môn gì) 
discard /ˈskɑːd/, /ˈskɑːrd/;  bỏ, vứt bỏ
discern /ˈsɜːn/, /ˈsɜːrn/;  nhận thức, thấy rõ (bằng trí óc, bằng giác quan...) 
disconcert /ˈsɜːt/, /ˈsɜːrt/;  làm bối rối, làm lúng túng
disconsolate /ˈkɒnsələt/, /ˈkɑːnsələt/;  buồn phiền, phiền muộn, chán nản thất vọng
discord /kɔːd/, /kɔːrd/;  sự bất hòa
discourse /kɔːs/, /kɔːrs/;  luận văn, đàm luận 
discredit /dɪsˈkredɪt/, /dɪsˈkredɪt/;  làm mất uy tín
discrepancy /dɪˈskrepənsi/, /dɪˈskrepənsi/;  sự khác biệt, sự khác nhau 
discrete /dɪˈskriːt/, /dɪˈskriːt/;  riêng biệt
discursive /ˈskɜːsɪv/, /ˈskɜːrsɪv/;  rời rạc, không mạch lạc 
dismay /dɪsˈmeɪ/, /dɪsˈmeɪ/;  sự buồn vã và lo lắng 
disparity /dɪˈspærəti/, /dɪˈspærəti/;  sự cách biệt, sự chênh lệch
dispassionate /dɪsˈpæʃənət/, /dɪsˈpæʃənət/;  vô tư, không thiên vị
dispatch /dɪˈspætʃ/, /dɪˈspætʃ/;  gửi đi (thư, thông điệp...), sai phái đi 
dispel /dɪˈspel/, /dɪˈspel/;  xua đuổi đi, xua tan
disperse /dɪˈspɜːs/, /dɪˈspɜːrs/;  phân tán, giải tán
disposition /ˌdɪspəˈzɪʃn/, /ˌdɪspəˈzɪʃn/;  tính khí 
dispute /dɪˈspjuːt/, /dɪˈspjuːt/;  sự tranh chấp, bất đồng, tranh cãi 
disseminate /dɪˈsemɪneɪt/, /dɪˈsemɪneɪt/;  truyền bá, phổ biến (thông tin, kiến thức...)
dissipate /ˈdɪsɪpeɪt/, /ˈdɪsɪpeɪt/;  xua tan, làm tiêu tan
dissociate /ˈsəʊsieɪt/, /ˈsoʊsieɪt/;  phân ra, tách ra, phân ly
dissolute /ˈdɪsəluːt/, /ˈdɪsəluːt/;  phóng đảng 
dissolve /ˈzɒlv/, /ˈzɑːlv/;  biến mất, làm biến mất 
distinct /dɪˈstɪŋkt/, /dɪˈstɪŋkt/;  dễ thấy, dễ nhận ra 
distinctly  /dɪˈstɪŋktli/, /dɪˈstɪŋktli/;  riêng biệt, rõ ràng, rành mạch, minh bạch, rõ rệt
distort /dɪˈstɔːt/, /dɪˈstɔːrt/;  vặn vẹo, bóp méo, làm méo mó 
distraught /dɪˈstrɔːt/, /dɪˈstrɔːt/;  quẫn trí 
distribute /dɪˈstrɪbjuːt/, /dɪˈstrɪbjuːt/;  phân phối, phân phát 
diversify /ˈvɜːsɪfaɪ/, /ˈvɜːrsɪfaɪ/;  đa dạng hoá
diversity /ˈvɜːsəti/, /ˈvɜːrsəti/;  sự đa dạng 
divert /ˈvɜːt/, /ˈvɜːrt/;  hướng ai, vật gì sang phía khác
divulge /daɪˈvʌldʒ/, /daɪˈvʌldʒ/;  tiết lộ thông tin bí mật
dogmatic /dɒɡˈmætɪk/, /dɔːɡˈmætɪk/;  độc đoán, giáo điều
dolorous /ˈdɒlərəs/, /ˈdoʊlərəs/;  đau thương
drought /draʊt/, /draʊt/;  hạn hán 
dubious /ˈdjuːbiəs/, /ˈduːbiəs/;  không chắc chắn, nghi ngờ 
due /djuː/, /duː/;  vì, do bởi, tại 
duration /djuˈreɪʃn/, /duˈreɪʃn/;  thời gian, khoảng thời gian 
dwell /dwel/, /dwel/;  ở, cư ngụ
edict /ˈiːdɪkt/, /ˈiːdɪkt/;  chỉ dụ, sắc lệnh
edifice /ˈedɪfɪs/, /ˈedɪfɪs/;  dinh thự, cấu trúc lớn, công trình lớn
edify /ˈedɪfaɪ/, /ˈedɪfaɪ/;  khai trí, soi sáng (nghĩa bóng)
effete /ɪˈfiːt/, /ɪˈfiːt/;  suy yếu, hết thời
egoism /ˈiːɡəʊɪzəm/, /ˈeɡəʊɪzəm/;  tính ích kỷ, tính ngoan cố, tính cố chấp
egregious /ɪˈɡriːdʒiəs/, /ɪˈɡriːdʒiəs/;  tuyệt vời, xuất sắc
elaborate /ɪˈlæbərət/, /ɪˈlæbərət/;  kỹ lưỡng, công phu, tinh vi 
elevate /ˈelɪveɪt/, /ˈelɪveɪt/;  đưa lên, nâng lên
elicit /ɪˈlɪsɪt/, /ɪˈlɪsɪt/;  khơi gợi, moi(thông tin hay phản ứng của ai)
eligible /ˈelɪdʒəbl/, /ˈelɪdʒəbl/;  đủ tư cách, thích hợp 
elite  /eɪˈliːt/, /eɪˈliːt/;  thành phần tinh túy, ưu tú, cao cấp 
elucidate /ɪˈluːsɪdeɪt/, /ɪˈluːsɪdeɪt/;  làm sáng tỏ, giải thích 
elude /ɪˈluːd/, /ɪˈluːd/;  tránh, né, lảng tránh
embark /ɪmˈbɑːk/, /ɪmˈbɑːrk/;  lao vào, dấn mình vào, bắt tay vào (công việc gì...)
embrace /ɪmˈbreɪs/, /ɪmˈbreɪs/;  đón nhận (ý tưởng, đề nghị, hệ tư tưởng...) 
emissary /səri/, /seri/;  sứ giả
emit /iˈmɪt/, /iˈmɪt/;  tỏa ra, phát ra
emphasize /ˈemfəsaɪz/, /ˈemfəsaɪz/;  nhấn mạnh 
enactment /ɪˈnæktmənt/, /ɪˈnæktmənt/;  sự ban hành (đạo luật)
encase /ɪnˈkeɪs/, /ɪnˈkeɪs/;  bọc lấy, bao bọc 
encompass /ɪnˈkʌmpəs/, /ɪnˈkʌmpəs/;  bao gồm, chứa đựng
encounter /ɪnˈkaʊntə(r)/, /ɪnˈkaʊntər/;  chạm trán, mắc phải 
encroach /ɪnˈkrəʊtʃ/, /ɪnˈkroʊtʃ/;  xâm lấn, xâm phạm (lãnh thổ, quyền...)
endure /ˈdjʊə(r)/, /ˈdʊr/;  chịu đựng, cam chịu
engender /ɪnˈdʒendə(r)/, /ɪnˈdʒendər/;  gây ra, đem lại
enhance /ˈhɑːns/, /ˈhæns/;  làm tăng, nâng cao, đề cao 
ennui /ɒnˈwiː/, /ɑːnˈwiː/;  sự buồn chán
ensue /ˈsjuː/, /ˈsuː/;  xãy ra sau đó 
enterprise /təpraɪz/, /tərpraɪz/;  doanh nghiệp, hãng 
